即,555,555,6033,接続詞,*,*,*,*,*,即,ソク,ソク,オウ,オウ
かくして,555,555,5403,接続詞,*,*,*,*,*,かくして,カクシテ,カクシテ,アウイエ,アウイエ
すると,555,555,6024,接続詞,*,*,*,*,*,すると,スルト,スルト,ウウオ,ウウオ
ですけれど,555,555,5436,接続詞,*,*,*,*,*,ですけれど,デスケレド,デスケレド,エウエエオ,エウエエオ
だって,555,555,5415,接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,アウエ,アウエ
なかんづく,555,555,5420,接続詞,*,*,*,*,*,なかんづく,ナカンヅク,ナカンズク,アアウウウ,アアウウウ
然し乍ら,555,555,4515,接続詞,*,*,*,*,*,然し乍ら,シカシナガラ,シカシナガラ,イアイアアア,イアイアアア
即ち,555,555,4522,接続詞,*,*,*,*,*,即ち,スナワチ,スナワチ,ウアアイ,ウアアイ
さもなければ,555,555,5420,接続詞,*,*,*,*,*,さもなければ,サモナケレバ,サモナケレバ,アオアエエア,アオアエエア
けれども,555,555,5342,接続詞,*,*,*,*,*,けれども,ケレドモ,ケレドモ,エエオオ,エエオオ
けれど,555,555,5435,接続詞,*,*,*,*,*,けれど,ケレド,ケレド,エエオ,エエオ
ほんなら,555,555,5420,接続詞,*,*,*,*,*,ほんなら,ホンナラ,ホンナラ,オウアア,オウアア
つまるところ,555,555,5420,接続詞,*,*,*,*,*,つまるところ,ツマルトコロ,ツマルトコロ,ウアウオオオ,ウアウオオオ
てゆーか,555,555,5420,接続詞,*,*,*,*,*,てゆーか,テユーカ,テユーカ,エウア,エウア
ほんで,555,555,5421,接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,オウエ,オウエ
なので,555,555,6128,接続詞,*,*,*,*,*,なので,ナノデ,ナノデ,アオエ,アオエ
そうしたら,555,555,5420,接続詞,*,*,*,*,*,そうしたら,ソウシタラ,ソーシタラ,オウイアア,オイアア
否,555,555,4185,接続詞,*,*,*,*,*,否,イナ,イナ,イア,イア
否,555,555,5114,接続詞,*,*,*,*,*,否,イヤ,イヤ,イア,イア
かつ,555,555,4281,接続詞,*,*,*,*,*,かつ,カツ,カツ,アウ,アウ
と同時に,555,555,7424,接続詞,*,*,*,*,*,と同時に,トドウジニ,トドージニ,オオウイイ,オオイイ
実は,555,555,2723,接続詞,*,*,*,*,*,実は,ジツハ,ジツワ,イウア,イウア
ならびに,556,556,5408,接続詞,*,*,*,*,*,ならびに,ナラビニ,ナラビニ,アアイイ,アアイイ
または,556,556,3910,接続詞,*,*,*,*,*,または,マタハ,マタワ,アアア,アアア
ですが,555,555,5605,接続詞,*,*,*,*,*,ですが,デスガ,デスガ,エウア,エウア
然しながら,555,555,4515,接続詞,*,*,*,*,*,然しながら,シカシナガラ,シカシナガラ,イアイアアア,イアイアアア
こうして,555,555,5188,接続詞,*,*,*,*,*,こうして,コウシテ,コーシテ,オウイエ,オイエ
したら,555,555,6379,接続詞,*,*,*,*,*,したら,シタラ,シタラ,イアア,イアア
いっぽう,555,555,5224,接続詞,*,*,*,*,*,いっぽう,イッポウ,イッポー,イウオウ,イウオ
そもそも,555,555,4784,接続詞,*,*,*,*,*,そもそも,ソモソモ,ソモソモ,オオオオ,オオオオ
では,555,555,5262,接続詞,*,*,*,*,*,では,デハ,デワ,エア,エア
そういや,555,555,5420,接続詞,*,*,*,*,*,そういや,ソウイヤ,ソーイヤ,オウイア,オイア
かたや,555,555,5368,接続詞,*,*,*,*,*,かたや,カタヤ,カタヤ,アアア,アアア
それでは,555,555,3873,接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,オエエア,オエエア
だとすれば,555,555,5434,接続詞,*,*,*,*,*,だとすれば,ダトスレバ,ダトスレバ,アオウエア,アオウエア
それにしても,555,555,5357,接続詞,*,*,*,*,*,それにしても,ソレニシテモ,ソレニシテモ,オエイイエオ,オエイイエオ
なのに,555,555,6750,接続詞,*,*,*,*,*,なのに,ナノニ,ナノニ,アオイ,アオイ
それでも,555,555,1490,接続詞,*,*,*,*,*,それでも,ソレデモ,ソレデモ,オエエオ,オエエオ
しかしながら,555,555,5420,接続詞,*,*,*,*,*,しかしながら,シカシナガラ,シカシナガラ,イアイアアア,イアイアアア
然し,555,555,4383,接続詞,*,*,*,*,*,然し,シカシ,シカシ,イアイ,イアイ
次いで,555,555,3260,接続詞,*,*,*,*,*,次いで,ツイデ,ツイデ,ウイエ,ウイエ
ただ,555,555,4395,接続詞,*,*,*,*,*,ただ,タダ,タダ,アア,アア
とすれば,555,555,5774,接続詞,*,*,*,*,*,とすれば,トスレバ,トスレバ,オウエア,オウエア
若しくは,556,556,4514,接続詞,*,*,*,*,*,若しくは,モシクハ,モシクワ,オイウア,オイウア
だから,555,555,3997,接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,アアア,アアア
そのうえに,555,555,5420,接続詞,*,*,*,*,*,そのうえに,ソノウエニ,ソノウエニ,オオウエイ,オオウエイ
つまり,555,555,5681,接続詞,*,*,*,*,*,つまり,ツマリ,ツマリ,ウアイ,ウアイ
なぜなら,555,555,4825,接続詞,*,*,*,*,*,なぜなら,ナゼナラ,ナゼナラ,アエアア,アエアア
ちなみに,555,555,5412,接続詞,*,*,*,*,*,ちなみに,チナミニ,チナミニ,イアイイ,イアイイ
追って,555,555,2941,接続詞,*,*,*,*,*,追って,オッテ,オッテ,オウエ,オウエ
じゃが,555,555,5330,接続詞,*,*,*,*,*,じゃが,ジャガ,ジャガ,イアア,イアア
そしたら,555,555,5386,接続詞,*,*,*,*,*,そしたら,ソシタラ,ソシタラ,オイアア,オイアア
ないし,556,556,5533,接続詞,*,*,*,*,*,ないし,ナイシ,ナイシ,アイイ,アイイ
でないと,555,555,5332,接続詞,*,*,*,*,*,でないと,デナイト,デナイト,エアイオ,エアイオ
たとへば,555,555,5420,接続詞,*,*,*,*,*,たとへば,タトヘバ,タトエバ,アオエア,アオエア
しかも,555,555,4100,接続詞,*,*,*,*,*,しかも,シカモ,シカモ,イアオ,イアオ
まずは,555,555,5687,接続詞,*,*,*,*,*,まずは,マズハ,マズワ,アウア,アウア
おまけに,555,555,8740,接続詞,*,*,*,*,*,おまけに,オマケニ,オマケニ,オアエイ,オアエイ
それどころか,555,555,5411,接続詞,*,*,*,*,*,それどころか,ソレドコロカ,ソレドコロカ,オエオオオア,オエオオオア
次に,555,555,3874,接続詞,*,*,*,*,*,次に,ツギニ,ツギニ,ウイイ,ウイイ
ですから,555,555,5614,接続詞,*,*,*,*,*,ですから,デスカラ,デスカラ,エウアア,エウアア
だからこそ,555,555,5844,接続詞,*,*,*,*,*,だからこそ,ダカラコソ,ダカラコソ,アアアオオ,アアアオオ
